time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450650000	12.9197	20.927	4.89488	2.96657	0.549579	radar	1.71838	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7118	20.9771	4.86276	2.9872	0.544323	lidar	1.73289	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4614	21.0161	4.87872	3.01592	0.547834	radar	2.68436	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2148	21.0553	4.88845	3.03997	0.544646	lidar	0.166757	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.975	21.0755	4.88839	3.07044	0.551405	radar	1.0512	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7285	21.0519	4.87818	3.11011	0.562362	lidar	1.96638	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4799	21.0389	4.88103	3.14565	0.570915	radar	1.19239	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2587	21.0366	4.85526	3.17239	0.569981	lidar	0.637996	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0034	20.9987	4.86644	3.2118	0.581436	radar	4.32005	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7871	20.9651	4.83306	3.2444	0.585485	lidar	0.679395	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5395	20.9601	4.83126	3.25875	0.562823	radar	5.17254	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2695	20.9813	4.87564	3.26962	0.546126	lidar	3.23495	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0308	20.9619	4.87265	3.291	0.539711	radar	0.99618	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.82792	20.9251	4.82866	3.31747	0.540419	lidar	1.67986	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59429	20.9126	4.80755	3.32448	0.511644	radar	2.62574	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39324	20.8611	4.76641	3.35264	0.514998	lidar	1.1785	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.16885	20.8209	4.75613	3.37387	0.510541	radar	1.54081	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88998	20.7824	4.81291	3.39088	0.50153	lidar	2.05274	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67119	20.706	4.79758	3.42152	0.506982	radar	4.40587	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40413	20.619	4.84287	3.45063	0.509335	lidar	2.6828	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17592	20.5399	4.84308	3.47774	0.511637	radar	0.0513893	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.9362	20.4584	4.85729	3.50196	0.510093	lidar	0.142116	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71891	20.374	4.85629	3.53067	0.517788	radar	3.40454	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.42665	20.3113	4.93054	3.53944	0.500684	lidar	3.85688	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.19879	20.2134	4.92872	3.56263	0.497155	radar	0.25837	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.93899	20.1296	4.96591	3.57712	0.486985	lidar	1.06769	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.7176	20.0362	4.9536	3.5949	0.478439	radar	0.553652	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.47007	19.9446	4.97809	3.6093	0.469323	lidar	0.65722	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.25573	19.85	4.96305	3.62649	0.463135	radar	2.84645	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.99585	19.756	5.00229	3.63633	0.450315	lidar	1.38331	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.77179	19.6125	5.02789	3.66948	0.464896	radar	1.86946	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.58134	19.493	4.99657	3.6935	0.466197	lidar	0.993435	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.38033	19.3447	4.99395	3.7239	0.473838	radar	1.61996	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.16278	19.2437	4.98991	3.7341	0.461687	lidar	2.04259	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.9696	19.1296	4.95121	3.74651	0.447159	radar	4.67662	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79533	18.9807	4.92428	3.7755	0.453713	lidar	0.529059	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
